image_id,file_name,width,height,category_id,category_name,bbox,area,iscrowd,image_path
1,train/00000.jpg,490,367,5,fire,"[216.63, 157.44, 33.97, 24.56]",834.3032000000001,0,./475_fire_train\images\train/00000.jpg
1,train/00000.jpg,490,367,5,fire,"[215.0, 199.4, 68.1, 53.8]",3663.78,0,./475_fire_train\images\train/00000.jpg
1,train/00000.jpg,490,367,4,smoke,"[213.57, 187.68, 80.23, 95.62]",7671.592600000002,0,./475_fire_train\images\train/00000.jpg
1,train/00000.jpg,490,367,5,fire,"[232.9, 75.0, 55.9, 79.3]",4432.870000000001,0,./475_fire_train\images\train/00000.jpg
1,train/00000.jpg,490,367,4,smoke,"[221.9, 47.8, 102.9, 132.7]",13654.83,0,./475_fire_train\images\train/00000.jpg
2,train/000044.jpg,5184,3456,7,person,"[4972.21, 1615.69, 209.42, 720.01]",150784.49420000002,0,./475_fire_train\images\train/000044.jpg
2,train/000044.jpg,5184,3456,4,smoke,"[0.0, 0.0, 2893.2, 1643.6]",4755263.52,0,./475_fire_train\images\train/000044.jpg
2,train/000044.jpg,5184,3456,7,person,"[3710.12, 1719.01, 144.18, 271.19]",39100.17420000009,0,./475_fire_train\images\train/000044.jpg
2,train/000044.jpg,5184,3456,5,fire,"[78.8, 399.6, 3168.9, 1885.6]",5975277.839999999,0,./475_fire_train\images\train/000044.jpg
2,train/000044.jpg,5184,3456,7,person,"[3989.15, 1258.66, 829.55, 1737.14]",1441044.4869999995,0,./475_fire_train\images\train/000044.jpg
3,train/000047.jpg,3674,2449,7,person,"[2643.64, 1038.08, 310.56, 830.66]",257969.76959999997,0,./475_fire_train\images\train/000047.jpg
3,train/000047.jpg,3674,2449,4,smoke,"[911.56, 949.91, 1214.15, 524.49]",636809.5335000003,0,./475_fire_train\images\train/000047.jpg
3,train/000047.jpg,3674,2449,7,person,"[2404.56, 1056.6, 222.76, 827.7]",184378.4520000002,0,./475_fire_train\images\train/000047.jpg
3,train/000047.jpg,3674,2449,7,person,"[538.7, 943.3, 398.9, 446.8]",178228.51999999996,0,./475_fire_train\images\train/000047.jpg
3,train/000047.jpg,3674,2449,7,person,"[3059.8, 1015.83, 206.13, 782.57]",161311.15409999975,0,./475_fire_train\images\train/000047.jpg
3,train/000047.jpg,3674,2449,5,fire,"[0.1, 845.6, 2508.8, 1603.4]",4022609.9200000004,0,./475_fire_train\images\train/000047.jpg
3,train/000047.jpg,3674,2449,7,person,"[3335.09, 943.51, 256.71, 850.59]",218354.9589,0,./475_fire_train\images\train/000047.jpg
3,train/000047.jpg,3674,2449,7,person,"[1073.16, 889.42, 438.74, 949.38]",416530.9812,0,./475_fire_train\images\train/000047.jpg
